"","disc_number","duration_ms.x","href","name","popularity","album.release_date","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo"
"1",1,188490,"https://api.spotify.com/v1/tracks/000xQL6tZNLJzIrtIgxqSl","Still Got Time",63,"2017-03-23",0.748,0.627,7,-6.029,1,0.0644,0.131,0,0.0852,0.524,120.963
"2",1,191053,"https://api.spotify.com/v1/tracks/001UkMQHw4zXfFNdKpwXAF","Brand New Man - with Luke Combs",67,"2019-04-05",0.573,0.846,7,-4.866,1,0.0344,0.00372,7.87e-05,0.29,0.562,127.061
"3",1,233266,"https://api.spotify.com/v1/tracks/003FTlCpBTM4eSqYSWPv4H","Swing, Swing",66,"2002-10-15",0.553,0.717,7,-5.857,1,0.0318,6.48e-05,0.128,0.0385,0.318,127.947
"4",1,236778,"https://api.spotify.com/v1/tracks/003VDDA7J3Xb2ZFlNx7nIZ","YELL OH",73,"2020-02-07",0.842,0.578,6,-6.05,0,0.138,0.00419,0,0.228,0.19,74.496
"5",1,179640,"https://api.spotify.com/v1/tracks/005lwxGU1tms6HGELIcUv9","I Kissed A Girl",65,"2008-06-17",0.699,0.76,5,-3.173,1,0.0677,0.00223,0,0.132,0.696,129.996
"6",1,170626,"https://api.spotify.com/v1/tracks/007EFIByaEW4dgEcIbfBg9","Hasta Que un día",61,"2018-10-25",0.684,0.564,10,-6.852,1,0.0297,0.425,0,0.152,0.368,134.958
"7",1,248841,"https://api.spotify.com/v1/tracks/00BE2ycaBS1XJJy8T0ojdm","I Feel You - Sun Soaked Mix",50,"2019-05-10",0.675,0.915,8,-6.699,0,0.0416,0.0329,0.21,0.273,0.117,117.999
"8",1,263441,"https://api.spotify.com/v1/tracks/00BObNeHOKlYEK9H4jZHIo","Symphony No.25 In G Minor, K.183: 1. Allegro Con Brio - Edit",2,"2020-03-15",0.387,0.326,7,-9.042,0,0.0381,0.981,0.953,0.194,0.283,84.384
"9",1,271680,"https://api.spotify.com/v1/tracks/00bOuKgzbRkOHmgCAL7ChZ","Zoning",47,"2019-09-06",0.629,0.877,7,-4.642,1,0.0402,0.0289,0.408,0.106,0.0369,104.978
"10",1,224720,"https://api.spotify.com/v1/tracks/00f9VGHfQhAHMCQ2bSjg3D","Soldier",68,"2019-04-26",0.496,0.639,6,-6.157,1,0.055,0.28,0,0.0975,0.305,147.764
"11",1,174333,"https://api.spotify.com/v1/tracks/00FmWWD8FpB1Ph6nPPw1bC","One Way St. (feat. Ab-Soul)",69,"2020-03-06",0.384,0.598,10,-8.216,0,0.153,0.168,0,0.61,0.365,82.455
"12",1,204829,"https://api.spotify.com/v1/tracks/00geGCe2BVyuqj1vkNJSBn","Welcome to the End of Your Life",51,"2019-06-28",0.322,0.696,9,-7.384,1,0.0796,0.0378,0,0.093,0.345,142.085
"13",1,180675,"https://api.spotify.com/v1/tracks/00GOPLxW4PGQuUYdPJh8K1","IV. Sweatpants",71,"2013-12-10",0.71,0.47,1,-9.33,0,0.142,0.154,0,0.643,0.581,80.027
"14",1,188560,"https://api.spotify.com/v1/tracks/00HxGKTPOh701Wv2gmbuA9","valentine's day",57,"2020-01-24",0.616,0.711,10,-3.369,1,0.0386,0.376,0,0.148,0.378,140.046
"15",1,211680,"https://api.spotify.com/v1/tracks/00i0O74dXdaKKdCrqHnfXm","La Mordidita",69,"2015-02-10",0.725,0.903,0,-2.955,1,0.0658,0.0344,0,0.183,0.946,142.006
"16",1,226738,"https://api.spotify.com/v1/tracks/00Ia46AgCNfnXjzgH8PIKH","Latina (feat. Maluma)",72,"2019-05-31",0.826,0.713,9,-4.017,0,0.129,0.0748,0,0.331,0.75,102.071
"17",1,225923,"https://api.spotify.com/v1/tracks/00ko9WaS4jOX1kEk3gvHjf","Hot Shower",78,"2019-07-26",0.899,0.509,9,-8.04,1,0.387,0.00157,0,0.0573,0.599,150.001
"18",1,204000,"https://api.spotify.com/v1/tracks/00Mb3DuaIH1kjrwOku9CGU","Sk8er Boi",74,"2002-06-04",0.487,0.9,0,-4.417,1,0.0482,6.79e-05,0,0.358,0.484,149.937
"19",1,265600,"https://api.spotify.com/v1/tracks/00NAQYOP4AmWR549nnYJZu","Secrets",71,"2016-11-25",0.665,0.771,0,-5.779,1,0.0533,0.0155,9.6e-06,0.46,0.764,109.945
"20",1,295346,"https://api.spotify.com/v1/tracks/00QAndVDVfNqNWYdWAhEan","Who Wants To Live Forever - Remastered 2011",49,"1991-10-28",0.135,0.399,4,-8.67,0,0.0361,0.577,0.00104,0.115,0.0383,87.476
"21",1,160257,"https://api.spotify.com/v1/tracks/00qMBaXdcR66Up91ZYl2dP","Wendy",62,"2019-03-08",0.795,0.471,2,-11.465,0,0.116,0.205,0,0.106,0.55,120.128
"22",1,259800,"https://api.spotify.com/v1/tracks/00qOE7OjRl0BpYiCiweZB2","Juke Box Hero",67,"1981",0.357,0.653,9,-5.554,1,0.0654,0.0828,0,0.0844,0.522,176.647
"23",1,227893,"https://api.spotify.com/v1/tracks/00QyLmjxaSEE8qIZQjBXBj","We Own It (Fast & Furious)",58,"2013-01-01",0.554,0.899,8,-4.573,1,0.408,0.0521,0,0.0568,0.552,171.966
"24",1,113996,"https://api.spotify.com/v1/tracks/00SiZEELZ0K4gkUl0rU529","Bandsville",67,"2020-02-14",0.833,0.39,0,-8.339,1,0.414,0.13,6.78e-06,0.11,0.353,159.996
"25",1,198333,"https://api.spotify.com/v1/tracks/00sOLbdFuffmtpEvLXFjq8","Piano Sonata No. 1 in F Minor, Op. 2 No. 1: III. Menuetto. Allegretto",20,"2020-03-06",0.237,0.0449,5,-27.927,0,0.043,0.995,0.875,0.133,0.324,177.575
"26",1,170226,"https://api.spotify.com/v1/tracks/00t7QTffOR3SA3L1BvSQVq","Suicidal Thoughts - 2005 Remaster",63,"1994-09-13",0.506,0.505,8,-10.198,1,0.444,0.44,2.3e-05,0.0938,0.0788,76.016
"27",1,165720,"https://api.spotify.com/v1/tracks/00TYv5NLZkKXq5KJZ6LMDt","Picture This",59,"2019-06-07",0.831,0.604,0,-6.741,1,0.273,0.0316,0,0.091,0.406,87.955
"28",1,214333,"https://api.spotify.com/v1/tracks/00WvmRXTkPBZNhhRK3xfdy","As Long as You Love Me",59,"1996",0.775,0.816,0,-5.534,1,0.0281,0.164,0,0.126,0.753,98.219
